iter	Passed	Remaining
0	4	6936
1	4	3769
2	4	2731
3	5	2434
4	7	2386
5	10	2973
6	12	2937
7	14	3049
8	20	3805
9	22	3837
10	23	3689
11	25	3653
12	29	3838
13	34	4150
14	36	4081
15	36	3897
16	38	3840
17	40	3776
18	41	3674
19	43	3652
20	46	3743
21	50	3847
22	53	3940
23	55	3875
24	57	3855
25	60	3926
26	64	4022
27	67	4030
28	68	3940
29	68	3835
30	70	3840
31	72	3800
32	73	3751
33	76	3765
34	77	3716
35	80	3729
36	82	3715
37	86	3808
38	88	3803
39	91	3833
40	95	3865
41	98	3894
42	101	3936
43	103	3906
44	105	3891
45	106	3850
46	108	3826
47	111	3855
48	114	3862
49	117	3912
50	120	3926
51	122	3891
52	123	3863
53	126	3882
54	129	3896
55	130	3860
56	132	3830
57	134	3814
58	136	3814
59	139	3842
60	142	3837
61	144	3839
62	146	3834
63	149	3837
64	152	3863
65	154	3841
66	158	3888
67	163	3933
68	166	3948
69	168	3932
70	170	3940
71	174	3973
72	176	3952
73	180	3989
74	183	4004
75	187	4029
76	191	4047
77	195	4093
78	196	4061
79	198	4044
80	201	4045
81	205	4073
82	208	4077
83	208	4037
84	213	4076
85	216	4086
86	219	4089
87	221	4080
88	222	4055
89	225	4058
90	230	4088
91	233	4105
92	236	4115
93	238	4097
94	239	4070
95	241	4051
96	245	4069
97	248	4080
98	250	4076
99	253	4073
100	258	4107
101	261	4111
102	264	4122
103	267	4121
104	269	4117
105	271	4097
106	273	4089
107	275	4086
108	279	4095
109	282	4105
110	285	4107
111	287	4093
112	289	4091
113	290	4066
114	294	4085
115	297	4089
116	301	4094
117	304	4107
118	307	4103
119	311	4124
120	315	4136
121	317	4133
122	321	4139
123	323	4134
124	327	4144
125	329	4133
126	331	4132
127	333	4117
128	334	4100
129	337	4093
130	341	4111
131	346	4132
132	348	4129
133	351	4129
134	355	4146
135	359	4155
136	361	4144
137	365	4159
138	367	4151
139	370	4154
140	375	4174
141	378	4176
142	381	4178
143	384	4171
144	386	4166
145	390	4177
146	393	4178
147	396	4179
148	399	4179
149	400	4162
150	405	4181
151	411	4210
152	412	4196
153	414	4184
154	416	4173
155	419	4177
156	423	4182
157	427	4197
158	430	4198
159	433	4191
160	436	4192
161	440	4208
162	444	4217
163	448	4221
164	450	4212
165	453	4213
166	457	4219
167	461	4228
168	463	4223
169	467	4227
170	469	4221
171	474	4235
172	476	4232
173	480	4236
174	484	4239
175	486	4236
176	489	4237
177	494	4246
178	496	4238
179	498	4228
180	501	4228
181	506	4243
182	510	4252
183	513	4252
184	515	4243
185	518	4244
186	523	4258
187	525	4252
188	527	4241
189	531	4245
190	533	4238
191	536	4233
192	541	4249
193	543	4245
194	546	4239
195	550	4243
196	554	4255
197	557	4249
198	560	4253
199	563	4252
200	565	4241
201	567	4231
202	573	4250
203	579	4270
204	583	4278
205	587	4282
206	589	4278
207	591	4268
208	593	4259
209	597	4260
210	598	4247
211	603	4261
212	607	4267
213	611	4271
214	616	4277
215	620	4286
216	623	4285
217	627	4288
218	630	4283
219	633	4281
220	637	4286
221	640	4290
222	642	4277
223	644	4272
224	647	4267
225	651	4274
226	654	4270
227	656	4262
228	660	4262
229	663	4263
230	666	4260
231	670	4268
232	674	4269
233	675	4258
234	678	4252
235	681	4251
236	685	4255
237	691	4272
238	695	4273
239	697	4268
240	702	4278
241	704	4269
242	707	4263
243	729	4379
244	733	4380
245	737	4381
246	738	4370
247	740	4359
248	744	4361
249	748	4362
250	750	4355
251	753	4353
252	757	4354
253	760	4353
254	764	4354
255	767	4353
256	769	4343
257	772	4340
258	775	4339
259	778	4333
260	781	4331
261	784	4330
262	788	4332
263	789	4319
264	792	4314
265	796	4319
266	800	4321
267	804	4321
268	806	4312
269	810	4314
270	813	4314
271	817	4313
272	820	4311
273	822	4304
274	824	4295
275	826	4289
276	829	4287
277	833	4288
278	836	4286
279	841	4290
280	844	4288
281	846	4282
282	850	4284
283	853	4279
284	857	4279
285	860	4275
286	862	4269
287	866	4272
288	870	4275
289	873	4270
290	875	4261
291	878	4259
292	882	4262
293	887	4266
294	890	4267
295	894	4267
296	896	4257
297	898	4253
298	901	4249
299	903	4241
300	906	4237
301	908	4230
302	910	4220
303	916	4234
304	925	4258
305	930	4265
306	934	4266
307	937	4260
308	941	4261
309	945	4262
310	948	4259
311	950	4253
312	951	4242
313	955	4242
314	958	4237
315	961	4234
316	965	4237
317	972	4249
318	983	4283
319	990	4295
320	995	4300
321	998	4296
322	1002	4300
323	1007	4301
324	1011	4303
325	1015	4305
326	1020	4309
327	1024	4310
328	1028	4309
329	1032	4310
330	1037	4316
331	1040	4312
332	1042	4305
333	1046	4305
334	1049	4301
335	1051	4295
336	1055	4294
337	1057	4287
338	1062	4292
339	1066	4289
340	1068	4284
341	1071	4278
342	1072	4267
343	1076	4268
344	1081	4272
345	1085	4274
346	1089	4275
347	1092	4271
348	1095	4266
349	1098	4261
350	1103	4265
351	1108	4269
352	1113	4272
353	1117	4274
354	1121	4274
355	1125	4274
356	1129	4273
357	1133	4272
358	1136	4269
359	1140	4270
360	1143	4267
361	1146	4264
362	1150	4263
363	1153	4259
364	1156	4255
365	1158	4248
366	1162	4246
367	1164	4241
368	1169	4243
369	1172	4239
370	1177	4243
371	1181	4241
372	1184	4240
373	1188	4240
374	1193	4240
375	1197	4242
376	1202	4247
377	1207	4248
378	1213	4253
379	1218	4256
380	1222	4258
381	1227	4261
382	1231	4259
383	1234	4257
384	1239	4259
385	1245	4264
386	1249	4265
387	1255	4270
388	1284	4354
389	1300	4395
390	1312	4422
391	1317	4424
392	1321	4423
393	1325	4421
394	1330	4421
395	1334	4420
396	1337	4417
397	1341	4417
398	1345	4413
399	1348	4408
400	1351	4405
401	1354	4401
402	1358	4399
403	1362	4397
404	1365	4393
405	1368	4388
406	1371	4384
407	1375	4383
408	1379	4381
409	1382	4376
410	1387	4377
411	1390	4373
412	1394	4371
413	1397	4368
414	1402	4369
415	1407	4372
416	1412	4372
417	1416	4372
418	1421	4374
419	1425	4372
420	1429	4370
421	1432	4364
422	1435	4362
423	1440	4361
424	1444	4361
425	1447	4357
426	1452	4356
427	1455	4353
428	1459	4352
429	1463	4348
430	1464	4339
431	1468	4338
432	1472	4335
