iter	RMSE
0	148265.3704
1	144607.0411
2	141014.5085
3	137603.9204
4	134334.9752
5	131067.5299
6	127906.7325
7	124837.7464
8	121937.7318
9	119093.0335
10	116430.7816
11	113795.3419
12	111248.1285
13	108795.4855
14	106419.0955
15	104130.8294
16	101946.5317
17	99819.92983
18	97792.71794
19	95923.48177
20	94039.09997
21	92259.53385
22	90537.96538
23	88855.66198
24	87252.18375
25	85715.69703
26	84233.49407
27	82821.56409
28	81457.17212
29	80149.911
30	78901.64213
31	77713.85143
32	76624.42343
33	75539.48236
34	74504.72807
35	73514.13995
36	72620.21257
37	71709.46761
38	70869.85659
39	70043.70866
40	69255.20387
41	68543.16987
42	67815.07358
43	67106.90811
44	66441.62119
45	65855.89945
46	65300.64535
47	64762.91258
48	64216.72168
49	63707.36532
50	63232.88217
51	62797.79692
52	62353.76075
53	61974.41417
54	61433.71949
55	60912.46707
56	60409.68906
57	59941.19499
58	59497.41011
59	59076.64076
60	58675.0111
61	58296.83428
62	57926.03591
63	57586.2373
64	57260.61953
65	56946.7022
66	56555.21216
67	56184.25246
68	55843.62662
69	55531.4382
70	55223.30559
71	54891.77986
72	54575.71406
73	54300.37411
74	54019.69243
75	53780.03935
76	53530.05422
77	53322.74569
78	53092.76967
79	52894.39671
80	52695.38254
81	52495.57669
82	52316.67683
83	52151.39534
84	51997.32395
85	51833.67591
86	51669.31297
87	51543.5171
88	51375.97146
89	51279.53979
90	51147.54343
91	51031.37767
92	50908.0665
93	50809.16999
94	50680.23444
95	50581.06024
96	50468.31256
97	50364.99919
98	50280.93209
99	50202.0052
100	50139.7579
101	50056.33785
102	49963.90413
103	49876.61402
104	49798.68353
105	49702.42846
106	49621.69173
107	49553.32458
108	49491.47692
109	49414.25632
110	49328.11618
111	49288.52169
112	49219.5886
113	49170.55546
114	49118.57439
115	49063.3199
116	48991.79503
117	48969.27848
118	48920.57301
119	48878.89477
120	48834.18901
121	48795.47947
122	48756.47367
123	48709.50473
124	48693.38806
125	48647.70646
126	48610.39482
127	48582.26972
128	48531.11775
129	48493.27189
130	48449.0333
131	48421.54116
132	48407.38153
133	48382.0946
134	48346.28028
135	48325.49695
136	48313.36541
137	48291.78941
138	48266.87665
139	48245.85732
140	48218.60487
141	48177.01035
142	48142.76704
143	48123.98026
144	48100.87372
145	48065.09482
146	48032.51424
147	48013.05771
148	47986.10315
149	47969.78506
150	47940.79375
151	47919.40258
152	47907.37294
153	47875.08719
154	47851.14918
155	47830.61076
156	47806.25159
157	47792.58341
158	47773.08522
159	47762.49243
160	47751.15781
161	47732.93417
162	47701.79596
163	47688.80313
164	47664.39249
165	47642.23757
166	47614.54925
167	47597.74509
168	47576.17275
169	47567.55254
170	47549.46054
171	47528.57917
172	47515.66872
173	47495.97902
174	47477.34278
175	47462.87002
176	47450.1072
177	47440.99672
178	47425.71847
179	47396.31833
180	47393.22586
181	47380.71468
182	47353.58203
183	47343.78637
184	47328.16013
185	47317.91794
186	47305.16663
187	47292.99277
188	47290.17979
189	47281.85351
190	47274.37504
191	47256.8196
192	47252.00892
193	47240.19554
194	47232.99264
195	47216.79788
196	47209.67349
197	47204.44864
198	47199.8224
199	47186.17534
200	47183.77354
201	47179.78331
202	47172.64238
203	47158.30505
204	47141.77033
205	47121.90566
206	47115.5047
207	47109.3462
208	47088.38989
209	47082.04021
210	47067.34157
211	47054.29807
212	47034.03815
213	47027.66656
214	47027.61236
215	47024.19913
216	47024.15165
217	47005.42445
218	47003.36556
219	47003.22982
220	46994.83277
221	46987.54982
222	46967.62657
223	46954.98565
224	46943.07934
225	46926.82313
226	46914.38286
227	46912.21128
228	46904.4511
229	46904.34278
230	46891.06219
231	46885.83738
232	46880.3081
233	46869.62893
234	46866.74681
235	46846.73749
236	46837.76132
237	46832.70065
238	46830.10445
239	46820.21128
240	46804.62252
241	46791.2638
242	46786.10806
243	46783.78788
244	46783.6497
245	46777.0333
246	46772.17225
247	46771.74709
248	46769.53496
249	46764.27804
250	46752.15472
251	46740.61161
252	46740.60161
253	46736.7885
254	46727.42772
255	46724.30509
256	46721.98941
257	46711.30349
258	46711.29634
259	46692.92843
260	46683.94265
261	46678.88998
262	46665.44915
263	46649.70001
264	46646.23626
265	46643.68354
266	46637.11758
267	46630.25145
268	46628.16854
269	46620.42406
270	46612.77322
271	46605.2702
272	46593.5365
273	46593.53022
274	46580.16572
275	46579.18391
276	46572.6236
277	46563.88987
278	46563.74561
279	46563.74038
280	46556.88348
281	46548.9855
282	46538.53926
283	46525.65429
284	46525.64991
285	46518.16893
286	46517.65568
287	46507.8956
288	46501.26206
289	46490.85358
290	46483.61469
291	46475.47248
292	46471.25686
293	46469.17753
294	46467.84966
295	46466.45972
296	46449.46702
297	46436.51639
298	46421.09905
299	46421.09548
300	46419.42383
301	46416.80015
302	46408.89084
303	46408.88729
304	46403.36204
305	46395.535
306	46386.79299
307	46385.42732
308	46372.3531
309	46359.55441
310	46359.55172
311	46353.48436
312	46340.75131
313	46340.74891
314	46332.11682
315	46322.09711
316	46317.4827
317	46307.35151
318	46304.23118
319	46292.24416
320	46289.78399
321	46270.50302
322	46269.68579
323	46269.61999
324	46268.2517
325	46266.95603
326	46264.09413
327	46259.51361
328	46253.71872
329	46253.00143
330	46250.39208
331	46240.61975
332	46240.58783
333	46225.53934
334	46217.5627
335	46210.97781
336	46198.49608
337	46195.59702
338	46195.15113
339	46193.44877
340	46185.97837
341	46168.7148
342	46164.66108
343	46155.87431
344	46148.16333
345	46147.83707
346	46147.78683
347	46134.15687
348	46125.89071
349	46118.36908
350	46116.99575
351	46111.40514
352	46106.68473
353	46099.68574
354	46096.01398
355	46087.04814
356	46085.72591
357	46082.51297
358	46077.82971
359	46065.41866
360	46053.46155
361	46046.89649
362	46040.71601
363	46037.17142
364	46027.01679
365	46024.48377
366	46020.68153
367	46016.83725
368	46010.73999
369	46004.82168
370	46004.26509
371	46000.77522
372	45996.2352
373	45995.22457
374	45993.71965
375	45987.64464
376	45985.22358
377	45979.20929
378	45971.99125
379	45961.37115
380	45956.35258
381	45948.20297
382	45946.97043
383	45935.51125
384	45924.65887
385	45924.35512
386	45918.23032
387	45905.15874
388	45887.06299
389	45885.33295
390	45883.82112
391	45882.68689
392	45877.74198
393	45863.63132
394	45859.03769
395	45856.06064
396	45844.96831
397	45838.02688
398	45832.89396
399	45832.14839
400	45826.40543
401	45821.3112
402	45820.44184
403	45814.06055
404	45809.15212
405	45799.12368
406	45798.68431
407	45794.44826
408	45778.75292
409	45778.27431
410	45777.92033
411	45771.68654
412	45758.87049
413	45757.09334
414	45751.22559
415	45746.76878
416	45746.21168
417	45739.26789
418	45731.358
419	45726.23237
420	45721.13813
421	45716.44955
422	45713.5343
423	45713.26327
424	45711.96044
425	45703.951
426	45700.38143
427	45699.41071
428	45695.80687
429	45692.81594
430	45692.37111
431	45679.90754
432	45678.91303
433	45670.11218
434	45648.30751
435	45640.83362
436	45635.83201
437	45633.55122
438	45630.39832
439	45625.35696
440	45608.33941
441	45604.38633
442	45601.54843
443	45598.97497
444	45586.91121
445	45582.88736
446	45574.59469
447	45565.06175
448	45552.44448
449	45544.24217
450	45533.07328
451	45524.88685
452	45522.28173
453	45518.60204
454	45508.62808
455	45505.38727
456	45493.48042
457	45489.39129
458	45488.00856
459	45481.47444
460	45468.98394
461	45464.23084
462	45461.01679
463	45460.57617
464	45447.73486
465	45445.11571
466	45442.31998
467	45441.37922
468	45440.36909
469	45428.00345
470	45425.04915
471	45424.58739
472	45422.01089
473	45414.69181
474	45409.33324
475	45404.98189
476	45400.37364
477	45396.03857
478	45395.04479
479	45389.51858
480	45388.35515
481	45387.0889
482	45386.38733
483	45384.41393
484	45383.97686
485	45378.71912
486	45368.79881
487	45354.02807
488	45349.00731
489	45346.05092
490	45338.0285
491	45336.93489
492	45334.04166
493	45325.86969
494	45308.90828
495	45290.8519
496	45288.53034
497	45285.87335
498	45284.26358
499	45283.02028
500	45275.02347
501	45264.81723
502	45264.59114
503	45256.6038
504	45252.8878
505	45249.0114
506	45244.63457
