iter	RMSE
0	62524.42483
1	61994.06228
2	61472.80969
3	60967.15332
4	60488.61232
5	60059.21224
6	59617.46269
7	59231.58235
8	58860.83372
9	58482.45421
10	58127.2973
11	57811.00978
12	57413.2463
13	57004.25237
14	56634.58191
15	56299.58614
16	55963.41754
17	55647.78902
18	55332.46745
19	55096.69087
20	54784.06131
21	54516.43134
22	54264.07786
23	53992.05437
24	53747.11755
25	53504.75926
26	53288.05816
27	53080.56285
28	52883.58079
29	52674.79952
30	52503.02464
31	52367.56661
32	52225.27193
33	52062.15735
34	51911.9455
35	51775.31387
36	51626.54265
37	51493.43966
38	51399.49445
39	51264.10566
40	51176.94525
41	51048.32679
42	50929.87521
43	50830.87546
44	50720.67888
45	50673.18375
46	50550.38594
47	50444.45386
48	50335.37407
49	50233.96463
50	50139.93868
51	50060.92525
52	49970.92731
53	49904.60561
54	49817.29087
55	49741.5036
56	49669.25249
57	49599.17344
58	49521.02221
59	49454.68122
60	49385.3271
61	49313.26481
62	49252.78349
63	49201.45725
64	49151.44223
65	49094.66952
66	49048.36589
67	48991.71777
68	48940.61636
69	48905.52887
70	48870.03674
71	48834.41437
72	48800.55396
73	48753.99326
74	48707.32027
75	48654.69104
76	48605.8071
77	48549.93693
78	48516.96027
79	48503.36827
80	48467.47942
81	48447.35769
82	48411.21227
83	48387.37194
84	48355.63571
85	48318.58518
86	48299.16673
87	48270.08746
88	48232.43459
89	48202.43702
90	48184.33458
91	48167.90535
92	48146.35832
93	48122.07971
94	48092.86273
95	48066.40203
96	48048.02032
97	48026.97339
98	48015.80496
99	47999.35565
100	47972.60159
101	47955.51045
102	47933.07275
103	47908.05517
104	47890.94051
105	47875.7461
106	47837.73707
107	47813.36774
108	47800.54898
109	47770.06715
110	47753.3335
111	47738.74134
112	47719.35724
113	47703.37834
114	47681.63431
115	47672.85963
116	47657.03248
117	47636.42199
118	47624.53975
119	47601.28975
120	47587.37692
121	47559.28797
122	47541.5896
123	47514.08833
124	47510.15182
125	47505.97898
126	47491.74348
127	47471.66671
128	47454.87734
129	47447.34837
130	47424.5881
131	47413.25709
132	47403.69275
133	47396.41219
134	47386.70804
135	47369.86358
136	47353.35323
137	47332.14784
138	47324.76029
139	47305.9806
140	47290.97624
141	47289.80823
142	47278.71011
143	47278.59555
144	47266.04188
145	47262.48576
146	47259.0548
147	47258.15784
148	47232.30819
149	47215.53081
150	47204.2833
151	47193.80219
152	47185.61546
153	47177.40692
154	47164.099
155	47149.50161
156	47131.96849
157	47127.38739
158	47120.10797
159	47106.88668
160	47090.97479
161	47080.51898
162	47080.51803
163	47080.49651
164	47074.99276
165	47053.36236
166	47045.05208
167	47035.33259
168	47019.68024
169	47016.61241
170	47004.49321
171	46994.11527
172	46982.28509
173	46973.64873
