iter	Passed	Remaining
0	1	3187
1	3	2950
2	5	3279
3	7	3369
4	9	3075
5	9	2789
6	14	3485
7	18	3918
8	20	3947
9	28	4879
10	29	4592
11	31	4408
12	36	4761
13	38	4697
14	41	4658
15	43	4565
16	45	4480
17	46	4398
18	47	4260
19	48	4088
20	49	3950
21	50	3837
22	50	3728
23	51	3631
24	52	3551
25	53	3477
26	54	3412
27	56	3380
28	57	3319
29	58	3250
30	58	3184
31	59	3108
32	61	3108
33	62	3081
34	64	3065
35	65	3023
36	66	2981
37	67	2947
38	67	2888
39	68	2857
40	70	2849
41	72	2868
42	73	2833
43	74	2801
44	74	2768
45	75	2742
46	76	2712
47	77	2686
48	78	2664
49	80	2659
50	81	2653
51	83	2649
52	84	2624
53	86	2641
54	88	2659
55	89	2629
56	90	2607
57	91	2593
58	92	2580
59	93	2561
60	94	2547
61	95	2531
62	96	2511
63	97	2508
64	98	2494
65	100	2495
66	101	2481
67	102	2480
68	104	2485
69	105	2472
70	106	2456
71	108	2454
72	109	2454
73	110	2441
74	112	2440
75	112	2425
76	113	2409
77	114	2399
78	118	2452
79	119	2441
80	121	2433
81	122	2437
82	123	2422
83	124	2407
84	125	2394
85	126	2386
86	127	2374
87	128	2362
88	130	2367
89	131	2371
90	133	2373
91	135	2375
92	136	2362
93	137	2361
94	138	2359
95	140	2352
96	141	2354
97	143	2354
98	144	2354
99	145	2347
100	147	2346
101	149	2347
102	150	2349
103	152	2350
104	153	2340
105	154	2332
106	156	2337
107	157	2328
108	159	2333
109	159	2323
110	160	2316
111	161	2307
112	162	2299
113	163	2292
114	166	2306
115	169	2323
116	171	2326
117	172	2319
118	173	2312
119	174	2311
120	176	2309
121	177	2301
122	179	2307
123	180	2300
124	180	2287
125	181	2275
126	182	2270
127	183	2264
128	185	2268
129	185	2255
130	187	2252
131	188	2253
132	189	2247
133	192	2260
134	194	2264
135	195	2265
136	197	2260
137	197	2251
138	199	2249
139	200	2249
140	202	2247
141	203	2240
142	205	2248
143	205	2234
144	206	2227
145	208	2227
146	209	2224
147	209	2211
148	211	2207
149	212	2209
150	214	2211
151	216	2220
152	218	2221
153	219	2216
154	220	2209
155	222	2212
156	224	2214
157	225	2212
158	228	2221
159	229	2216
160	230	2217
161	231	2213
162	232	2201
163	232	2188
164	233	2183
165	234	2179
166	235	2174
167	237	2176
168	238	2171
169	239	2168
170	241	2170
171	243	2171
172	244	2168
173	245	2163
174	248	2175
175	250	2181
176	251	2172
177	252	2168
178	253	2168
179	255	2165
180	257	2169
181	258	2164
182	259	2164
183	261	2165
184	262	2160
185	263	2153
186	263	2143
187	265	2143
188	268	2155
189	270	2158
190	271	2154
191	272	2150
192	274	2151
193	274	2145
194	275	2138
195	276	2133
196	277	2129
197	279	2129
198	280	2129
199	281	2125
200	282	2120
201	284	2122
202	286	2126
203	288	2125
204	289	2120
205	290	2117
206	291	2113
207	293	2114
208	294	2113
209	296	2114
210	297	2114
211	299	2115
212	300	2106
213	301	2102
214	303	2108
215	305	2108
216	306	2105
217	308	2109
218	309	2101
219	310	2101
220	311	2096
221	312	2093
222	314	2093
223	315	2093
224	317	2094
225	319	2095
226	321	2097
227	322	2093
228	323	2089
229	324	2083
230	325	2079
231	326	2077
232	327	2073
233	329	2073
234	330	2071
235	331	2070
236	334	2073
237	336	2078
238	337	2076
239	339	2076
240	341	2076
241	342	2073
242	344	2077
243	346	2077
244	348	2080
245	350	2080
246	350	2073
247	351	2069
248	352	2063
249	352	2058
250	353	2054
251	355	2056
252	357	2054
253	358	2050
254	359	2046
255	359	2038
256	360	2035
257	361	2033
258	363	2031
259	364	2030
260	365	2026
261	366	2023
262	367	2017
263	368	2013
264	369	2010
265	370	2009
266	371	2006
267	373	2005
268	374	2005
269	375	2001
270	376	1998
271	378	1996
272	378	1992
273	379	1987
274	381	1987
275	382	1984
276	383	1981
277	384	1978
278	386	1977
279	387	1978
280	388	1974
281	390	1972
282	391	1970
283	392	1968
284	393	1963
285	395	1964
286	396	1961
287	397	1961
288	398	1958
289	400	1959
290	401	1955
291	402	1953
292	403	1950
293	405	1948
294	406	1946
295	408	1948
296	410	1948
297	412	1952
298	413	1949
299	415	1951
300	417	1950
301	417	1944
302	418	1940
303	419	1939
304	421	1940
305	422	1936
306	423	1933
307	424	1930
308	426	1929
309	426	1924
310	428	1924
311	431	1931
312	433	1931
313	434	1928
314	435	1926
315	436	1922
316	438	1925
317	439	1922
318	441	1922
319	443	1922
320	444	1921
321	445	1918
322	446	1916
323	449	1921
324	451	1919
325	452	1916
326	453	1913
327	454	1913
328	460	1928
